PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,California,2015,40,X,1.38064,X,X,X,X,X,X,558,125,40416
States,New York,2015,40,X,0.588433,X,X,X,X,X,X,70,80,11896
States,Texas,2015,40,X,3.1748,X,X,X,X,X,X,1016,126,32002
States,Washington,2015,40,X,0.441684,X,X,X,X,X,X,32,47,7245
States,California,2015,41,X,1.5661,X,X,X,X,X,X,653,138,41696
States,New York,2015,41,X,0.557203,X,X,X,X,X,X,62,80,11127
States,Texas,2015,41,X,3.42995,X,X,X,X,X,X,1084,124,31604
States,Washington,2015,41,X,0.730327,X,X,X,X,X,X,40,46,5477
States,California,2015,42,X,1.50411,X,X,X,X,X,X,677,140,45010
States,New York,2015,42,X,0.85962,X,X,X,X,X,X,115,82,13378
States,Texas,2015,42,X,3.63057,X,X,X,X,X,X,1162,122,32006
States,Washington,2015,42,X,0.349592,X,X,X,X,X,X,21,46,6007
States,California,2015,43,X,1.61772,X,X,X,X,X,X,715,151,44198
States,New York,2015,43,X,0.816171,X,X,X,X,X,X,107,83,13110
States,Texas,2015,43,X,3.84937,X,X,X,X,X,X,1152,123,29927
States,Washington,2015,43,X,0.970874,X,X,X,X,X,X,55,37,5665
States,California,2015,44,X,1.73589,X,X,X,X,X,X,800,157,46086
States,New York,2015,44,X,0.655665,X,X,X,X,X,X,89,84,13574
States,Texas,2015,44,X,3.47839,X,X,X,X,X,X,1143,126,32860
States,Washington,2015,44,X,0.426667,X,X,X,X,X,X,24,46,5625
States,California,2015,45,X,1.80813,X,X,X,X,X,X,782,156,43249
States,New York,2015,45,X,0.723665,X,X,X,X,X,X,97,85,13404
States,Texas,2015,45,X,3.86243,X,X,X,X,X,X,1214,123,31431
States,Washington,2015,45,X,0.401914,X,X,X,X,X,X,21,45,5225
States,California,2015,46,X,2.14097,X,X,X,X,X,X,996,157,46521
States,New York,2015,46,X,1.18498,X,X,X,X,X,X,159,82,13418
States,Texas,2015,46,X,3.96778,X,X,X,X,X,X,1266,123,31907
States,Washington,2015,46,X,0.402857,X,X,X,X,X,X,22,46,5461
